City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bajil,YE,2021-06-03 21:43:44,15.0584,43.2851,89.38,51,83,5.93
68,Jining,CN,2021-06-03 21:43:44,35.405,116.5814,66.99,1,3,1.01
69,Hilo,US,2021-06-03 21:43:45,19.7297,-155.09,80.8,70,40,8.05
70,Marseille,FR,2021-06-03 21:43:45,43.3333,5.5,63.95,70,2,3.8
71,Tuktoyaktuk,CA,2021-06-03 21:43:45,69.4541,-133.0374,44.6,70,75,13.8
72,Bonavista,CA,2021-06-03 21:43:46,48.6499,-53.1147,75.2,69,55,12.06
73,Sinnamary,GF,2021-06-03 21:43:46,5.3833,-52.95,78.82,88,96,9.64
74,Yumen,CN,2021-06-03 21:43:46,40.2833,97.2,62.98,9,0,4.83
75,Arraial Do Cabo,BR,2021-06-03 21:43:30,-22.9661,-42.0278,76.86,83,20,2.3
76,Vao,NC,2021-06-03 21:43:47,-22.6667,167.4833,71.78,72,56,14.94
77,Castro,BR,2021-06-03 21:43:47,-24.7911,-50.0119,61.11,87,32,1.16
78,San Patricio,US,2021-06-03 21:43:47,28.017,-97.5169,83.88,74,96,9.89
79,Bredasdorp,ZA,2021-06-03 21:43:47,-34.5322,20.0403,54.28,93,100,4.65
80,Lorengau,PG,2021-06-03 21:43:48,-2.0226,147.2712,81.19,75,98,0.6
81,Saint-Philippe,RE,2021-06-03 21:43:48,-21.3585,55.7679,71.15,74,15,11.7
82,Bali,ID,2021-06-03 21:43:49,-8.5,115.0,79.77,83,64,3.47
83,Erenhot,CN,2021-06-03 21:43:49,43.6475,111.9767,50.52,70,25,11.18
84,Port Alfred,ZA,2021-06-03 21:43:49,-33.5906,26.891,56.59,64,56,1.95
85,Paraiso,CR,2021-06-03 21:43:49,9.8383,-83.8656,72.46,96,100,2.19
86,Hithadhoo,MV,2021-06-03 21:43:50,-0.6,73.0833,83.48,70,100,18.3
87,Hermanus,ZA,2021-06-03 21:43:50,-34.4187,19.2345,54.9,76,100,9.48
88,Shingu,JP,2021-06-03 21:43:50,33.7333,135.9833,72.91,99,100,11.27
89,Tianpeng,CN,2021-06-03 21:43:51,30.9866,103.9393,64.87,64,100,2.75
90,Vaini,TO,2021-06-03 21:43:37,-21.2,-175.2,73.56,83,20,0.0
91,Muli,MV,2021-06-03 21:43:51,2.9167,73.5667,82.83,75,92,17.47
92,Upernavik,GL,2021-06-03 21:43:51,72.7868,-56.1549,35.04,69,10,2.75
93,Maibong,IN,2021-06-03 21:43:52,25.3,93.1667,71.87,99,69,3.27
94,Souillac,MU,2021-06-03 21:43:52,-20.5167,57.5167,74.35,78,40,15.41
95,Namibe,AO,2021-06-03 21:43:52,-15.1961,12.1522,70.83,80,20,3.91
96,Zhigansk,RU,2021-06-03 21:43:53,66.7697,123.3711,62.01,54,100,6.02
97,Puerto Madryn,AR,2021-06-03 21:43:53,-42.7692,-65.0385,51.64,84,100,7.83
98,Moron,AR,2021-06-03 21:43:53,-34.6534,-58.6198,64.29,73,87,1.01
99,Naze,JP,2021-06-03 21:43:54,28.3667,129.4833,76.12,90,100,17.67
100,Riosucio,CO,2021-06-03 21:43:54,5.4216,-75.7032,77.43,90,100,1.92
101,Taoudenni,ML,2021-06-03 21:43:54,22.6783,-3.9836,102.61,9,56,5.61
102,Calabozo,VE,2021-06-03 21:43:54,8.9242,-67.4293,86.9,52,97,3.74
103,Chokurdakh,RU,2021-06-03 21:43:55,70.6333,147.9167,57.34,58,100,2.46
104,Henties Bay,NA,2021-06-03 21:43:55,-22.116,14.2845,66.85,47,0,4.03
105,Bilibino,RU,2021-06-03 21:43:55,68.0546,166.4372,57.78,34,12,1.7
106,Herat,AF,2021-06-03 21:43:56,34.5,62.0,81.77,11,0,7.99
107,Saskylakh,RU,2021-06-03 21:43:56,71.9167,114.0833,33.8,100,100,10.13
108,West Bay,KY,2021-06-03 21:43:56,19.3667,-81.4167,86.0,76,20,5.01
109,Sept-Iles,CA,2021-06-03 21:42:39,50.2001,-66.3821,60.06,69,75,4.0
110,Pimentel,PE,2021-06-03 21:43:57,-6.8367,-79.9342,71.89,78,40,4.0
111,Cockburn Town,TC,2021-06-03 21:43:54,21.4612,-71.1419,84.16,65,40,13.8
112,Puerto Leguizamo,CO,2021-06-03 21:43:57,-0.1934,-74.7819,77.18,92,52,2.46
113,Byron Bay,AU,2021-06-03 21:43:46,-28.65,153.6167,60.71,71,0,10.83
114,New Norfolk,AU,2021-06-03 21:43:48,-42.7826,147.0587,47.7,66,91,3.0
115,Neuruppin,DE,2021-06-03 21:43:57,52.9282,12.8031,69.98,68,93,5.14
116,Bambous Virieux,MU,2021-06-03 21:43:45,-20.3428,57.7575,74.21,78,40,17.11
117,Binghamton,US,2021-06-03 21:42:46,42.0987,-75.918,71.69,85,90,3.0
118,Thinadhoo,MV,2021-06-03 21:43:58,0.5333,72.9333,84.09,67,100,17.09
119,Cidreira,BR,2021-06-03 21:43:58,-30.1811,-50.2056,59.94,80,0,6.91
120,Cabo San Lucas,MX,2021-06-03 21:42:23,22.8909,-109.9124,93.81,49,0,8.55
121,Ribeira Grande,PT,2021-06-03 21:43:59,38.5167,-28.7,62.4,67,44,9.46
122,Provideniya,RU,2021-06-03 21:43:59,64.3833,-173.3,35.71,69,90,13.42
123,Los Llanos De Aridane,ES,2021-06-03 21:43:59,28.6585,-17.9182,64.15,86,90,14.72
124,Kjollefjord,NO,2021-06-03 21:43:59,70.9457,27.3465,58.78,71,17,9.13
125,Qaanaaq,GL,2021-06-03 21:43:26,77.484,-69.3632,28.71,83,28,2.91
126,Bama,NG,2021-06-03 21:44:00,11.5221,13.6856,90.25,30,10,6.73
127,Madison,US,2021-06-03 21:40:01,34.7334,-86.5667,83.79,61,40,1.01
128,Khani,GE,2021-06-03 21:44:00,41.9563,42.9566,47.77,82,34,4.52
129,Narendranagar,IN,2021-06-03 21:44:01,30.1667,78.3,67.59,53,8,6.2
130,Butaritari,KI,2021-06-03 21:43:28,3.0707,172.7902,83.07,76,92,12.21
131,Jaciara,BR,2021-06-03 21:44:01,-15.9653,-54.9683,77.36,42,9,2.1
132,Mandalgovi,MN,2021-06-03 21:44:01,45.7625,106.2708,48.92,67,0,4.52
133,Bac Lieu,VN,2021-06-03 21:44:02,9.285,105.7244,81.86,83,64,7.56
134,Constitucion,CL,2021-06-03 21:40:56,-35.3333,-72.4167,58.28,90,100,8.05
135,Minatitlan,MX,2021-06-03 21:44:02,17.9833,-94.5167,93.33,42,38,13.29
136,San Cristobal,VE,2021-06-03 21:44:03,7.7669,-72.225,77.18,70,80,4.38
137,Kavieng,PG,2021-06-03 21:44:03,-2.5744,150.7967,82.71,74,98,3.91
138,Mayor Pablo Lagerenza,PY,2021-06-03 21:44:03,-19.9309,-60.7718,84.7,38,55,6.89
139,Alice Springs,AU,2021-06-03 21:43:29,-23.7,133.8833,53.15,82,90,8.41
140,Makat,KZ,2021-06-03 21:44:04,47.6469,53.3463,71.92,57,1,13.35
141,Effium,NG,2021-06-03 21:44:04,6.6292,8.0593,80.24,80,74,10.07
142,San Bartolome De Tirajana,ES,2021-06-03 21:44:04,27.9248,-15.5733,58.32,72,40,15.23
143,Malanje,AO,2021-06-03 21:44:04,-9.5402,16.341,63.27,51,17,1.92
144,Pampas,PE,2021-06-03 21:44:05,-12.4,-74.9,55.49,68,89,6.82
