City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,80,90,12.66,overcast clouds
79,Georgetown,MY,5.4112,100.3354,79.9,92,40,1.01,heavy intensity rain
80,Kisangani,CD,0.5167,25.2,70.23,97,95,0.63,overcast clouds
81,Ust-Kut,RU,56.7938,105.7672,51.96,96,100,5.39,light rain
82,Longyearbyen,SJ,78.2186,15.6401,33.64,75,75,13.8,broken clouds
83,Sobolevo,RU,54.4299,31.8996,58.55,74,75,3.22,broken clouds
84,Tangier,MA,35.7806,-5.8137,74.55,69,40,11.48,scattered clouds
85,Mahebourg,MU,-20.4081,57.7,74.25,83,40,8.05,scattered clouds
86,Burnie,AU,-41.0667,145.9167,48.96,77,74,8.93,broken clouds
87,Itaituba,BR,-4.2761,-55.9836,89.55,52,56,2.28,broken clouds
88,Jega,NG,12.2175,4.3792,100.17,26,71,6.69,broken clouds
89,Tasiilaq,GL,65.6145,-37.6368,39.36,98,100,8.19,light rain
90,Upernavik,GL,72.7868,-56.1549,37.47,84,55,2.93,broken clouds
91,Ceuta,ES,35.8903,-5.3075,75.31,90,66,7.85,broken clouds
92,Kapaa,US,22.0752,-159.319,77.32,74,40,1.01,scattered clouds
93,Ihosy,MG,-22.4,46.1167,61.95,70,19,4.5,few clouds
94,Bambous Virieux,MU,-20.3428,57.7575,74.21,83,40,7.54,scattered clouds
95,Saint-Philippe,RE,-21.3585,55.7679,74.75,83,41,3.78,light rain
96,Bundaberg,AU,-24.85,152.35,54.21,77,0,1.99,clear sky
97,Sitka,US,57.0531,-135.33,51.69,76,75,0.0,light rain
98,Kapit,MY,2.0167,112.9333,72.88,99,64,0.65,broken clouds
99,Leningradskiy,RU,69.3833,178.4167,34.21,94,98,10.36,overcast clouds
100,Parker,US,32.7668,-97.8003,80.46,80,100,1.01,overcast clouds
101,Badiraguato,MX,25.3667,-107.5167,91.71,25,0,6.73,clear sky
102,Brigantine,US,39.4101,-74.3646,90.34,45,1,12.5,clear sky
103,Istisu,AZ,40.9457,48.0738,59.67,92,67,1.21,broken clouds
104,Lavrentiya,RU,65.5833,-171.0,32.9,86,93,11.21,overcast clouds
105,Kununurra,AU,-15.7667,128.7333,64.38,52,75,4.61,broken clouds
106,Kolondieba,ML,11.0882,-6.8926,101.43,23,17,5.41,few clouds
107,Arman,RU,59.7,150.1667,40.78,93,100,8.57,light rain
108,Birin,NP,26.8865,88.0718,63.7,79,13,5.57,few clouds
109,Hailar,CN,49.2,119.7,51.71,72,16,7.14,few clouds
110,Ribeira Grande,PT,38.5167,-28.7,70.2,78,20,10.36,few clouds
111,Pattaya,TH,12.9333,100.8833,90.18,73,100,13.71,overcast clouds
112,San Patricio,US,28.017,-97.5169,87.03,60,4,9.46,clear sky
113,Buala,SB,-8.145,159.5921,79.2,82,92,4.03,overcast clouds
114,Bonavista,CA,48.6499,-53.1147,48.2,79,83,12.48,broken clouds
115,Stanislav,UA,46.5691,32.1478,66.29,63,65,7.99,broken clouds
116,Lagos,NG,6.5833,3.75,80.92,93,98,4.38,overcast clouds
117,Hilo,US,19.7297,-155.09,77.79,72,1,5.75,light rain
